Modelo_Marca,Perdidas_Normal,Tipo_Combustible,Aspiracion,Num_Puertas,Estilo_Carroceria,Ruedas_Motrices,Distancia_Entre_Ejes,Longitud,Ancho,Altura,Peso_Vacio,Tipo_Motor,Num_Cilindros,Tamano_Motor,Sis_combustible,Diametro_Interior,Carrera,Relacion_Compresion,Potencia,RPM_Max,Galones_Ciudad,Galones_Carretera,PRECIO
C128_toyota,91,gas,std,four,wagon,rwd,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8778
C179_dodge,148,gas,std,four,sedan,fwd,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
C153_toyota,91,gas,std,four,sedan,fwd,95.7,166.3,64.4,53,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,7738
C048_toyota,197,gas,std,two,hatchback,rwd,102.9,183.5,67.7,52,2976,otros,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558
C186_dodge,118,gas,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377
C019_audi,158,gas,turbo,four,sedan,fwd,105.8,192.7,71.4,55.9,3086,ohc,otros,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875
C102_mazda,115,gas,std,four,sedan,fwd,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245
C182_chevrolet,81,gas,std,four,sedan,fwd,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575
C050_mercury,,gas,turbo,two,hatchback,rwd,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503
C070_nissan,108,gas,std,four,sedan,fwd,100.4,184.6,66.5,55.1,3060,otros,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499
C062_saab,150,gas,std,two,hatchback,fwd,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040
C195_nissan,128,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499
C150_toyota,91,diesel,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788
C093_toyota,134,gas,std,two,wagon,rwd,98.4,176.2,65.6,52,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199
C030_saab,104,gas,turbo,four,sedan,fwd,99.1,186.6,66.5,56.1,2847,otros,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18620
C088_volkswagen,,gas,std,two,hatchback,fwd,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595
C159_subaru,89,gas,std,four,wagon,fwd,97,173.5,65.4,53,2290,otros,four,108,2bbl,3.62,2.64,9,82,4800,28,32,7463
C161_nissan,103,gas,std,four,wagon,fwd,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349
C087_subaru,85,gas,turbo,four,wagon,rwd,96.9,173.6,65.4,54.9,2650,otros,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694
C032_nissan,231,gas,std,two,hatchback,rwd,99.2,178.5,67.9,49.7,3139,otros,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399
C133_toyota,134,gas,std,two,wagon,rwd,98.4,176.2,65.6,52,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449
C136_toyota,168,gas,std,two,hatchback,rwd,94.5,168.7,64,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8238
C007_jaguar,,gas,std,four,sedan,rwd,113,199.6,69.6,52.8,4066,otros,six,258,mpfi,3.63,4.17,8.1,#,4750,15,19,35550
C120_subaru,102,gas,std,four,sedan,rwd,97,172,65.4,54.3,2385,otros,four,108,2bbl,3.62,2.64,9,82,4800,24,25,9233
C129_dodge,148,gas,turbo,four,sedan,fwd,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558
C163_honda,78,gas,std,four,wagon,fwd,96.5,157.1,63.9,58.3,2024,ohc,four,92,otros,2.92,3.41,9.2,76,6000,30,34,7295
C114_volkswagen,94,diesel,turbo,four,sedan,fwd,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,9495
C047_peugot,161,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,3075,otros,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630
C044_peugot,161,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,3252,otros,four,152,idi,3.7,3.52,21,95,4150,28,33,16900
C112_nissan,106,gas,std,four,sedan,fwd,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549
C021_volvo,95,diesel,turbo,four,sedan,rwd,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,22470
C152_subaru,102,gas,std,four,sedan,fwd,97.2,172,65.4,52.5,2190,otros,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775
C103_subaru,89,gas,std,four,wagon,fwd,97,173.5,65.4,53,2455,otros,four,108,mpfi,3.62,2.64,9,94,5200,25,31,10198
C131_volkswagen,94,gas,std,four,sedan,fwd,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8495
C011_porsche,,gas,std,two,wagon,rwd,89.5,168.9,65,51.6,2756,otros,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528
